country,happiness_score,suicides,population,suicide_rate,are_they_happy
Iceland,8,40,268773,0.01,Happiness_score_is_fake_news
Romania,6,1953,16644905,0.01,Happiness_score_is_fake_news
Lithuania,6,822,2445296,0.03,Happiness_score_is_fake_news
Mauritius,6,98,992432,0.01,Happiness_score_is_fake_news
Austria,7,1201,7484629,0.02,Happiness_score_is_fake_news
Croatia,5,683,3567043,0.02,Happiness_score_is_fake_news
Netherlands,7,1886,14239554,0.01,Happiness_score_is_fake_news
Qatar,6,68,2213121,0,Happiness_score_is_fake_news
Thailand,6,4117,53442001,0.01,Happiness_score_is_fake_news
Mongolia,5,423,2167589,0.02,Happiness_score_is_fake_news
Hungary,5,1761,8390370,0.02,Happiness_score_is_fake_news
Sweden,7,1130,8125852,0.01,Happiness_score_is_fake_news
Armenia,4,67,2400033,0,Happiness_score_is_fake_news
Cyprus,6,36,711344,0.01,Happiness_score_is_fake_news
Czech Republic,7,1318,8929942,0.01,Happiness_score_is_fake_news
